time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,network_speed,ego_speed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate
2637,914590,96.92,23.360451839999996,119,9968,23.575178039811284,24.47983723149156,8.892036437988281,228547,-4.221384048461914,0.0,0.0005
2640,914956,96.49,23.57635613,119,9972,22.313101903149192,21.761193005701543,13.98784065246582,228638,-2.412498712539673,0.0,0.0005
2643,915238,95.77,21.30563152,119,9976,21.175054643655518,21.491350474303214,18.038700103759766,228709,-3.3584914207458496,0.0,0.0005
2647,915657,97.27,23.73917120999999,119,9980,21.77779203488937,21.068255075404405,7.374411582946777,228814,-5.9862446784973145,0.0,0.0005
2651,916115,98.42,26.019454939999996,119,9984,18.625559605437907,11.520132128239014,14.388128280639648,228928,-5.128653049468994,0.0,0.0005
2653,916439,97.52,25.881668399999995,119,9988,20.08967328401379,23.676343453110025,20.457792282104492,229009,-3.1599678993225098,0.0,0.0005
2657,916836,98.03,25.067737460000004,119,9992,20.26651302416913,12.64442138767817,14.177337646484375,229108,-6.720293045043945,0.0,0.0005
2660,917231,97.68,25.167504840000003,119,9996,23.083736315696683,29.28525670512382,10.684808731079102,229207,-4.436206340789795,0.0,0.0005
2664,917652,97.14,24.90873064,119,10000,19.268058341038774,19.145585517207056,17.96075439453125,229312,-3.743076801300049,0.0,0.0005
2667,918055,97.24,24.937096979999996,119,10004,23.195536609252056,24.3493211913003,8.603360176086426,229413,-6.2087202072143555,0.0,0.0005
2669,918365,96.47,25.17705175,119,10008,19.460457240852644,22.550399346072297,13.880102157592773,229491,-4.2288665771484375,0.0,0.0005
2673,918717,95.51,25.03906328,119,10012,23.77781197931039,22.59062913879117,21.039047241210938,229579,0.3835437297821045,0.0,0.0005
2676,919002,94.58,25.646120850000003,119,10016,21.059229094425433,21.036024746395395,16.07483673095703,229650,-3.193311929702759,0.0,0.0005
2677,919313,93.27,23.26498462,119,10020,20.758854160871675,18.99502976824529,18.44692039489746,229728,-5.658934593200684,0.0,0.0005
2680,919612,92.19,23.240718660000006,119,10024,19.766708342299466,22.54288594885685,14.660751342773438,229802,-5.024764537811279,0.0,0.0005
2684,920068,91.89,23.328348749999996,119,10028,21.572138403818713,25.500703614275672,10.4419527053833,229916,-3.972677707672119,0.0,0.0005
2686,920478,92.73,23.25589563,119,10032,21.49133089287051,22.51559179908127,13.4886474609375,230019,-4.999790191650391,0.0,0.0005
2690,920819,91.59,23.39958696,119,10036,19.119537876214274,20.19242561379388,28.44269561767578,230104,-0.780446469783783,0.0,0.0005
2693,921139,92.16,25.706464690000004,119,10040,19.2938959700453,19.362502798633724,125.63339233398438,230184,-2.090153455734253,0.0,0.0005
2694,921396,91.5,24.994939159999998,119,10044,17.86151171478859,18.207672860600233,19.69656753540039,230248,-1.2608555555343628,0.0,0.0005
2698,921752,91.31,25.157405980000004,119,10048,20.145917081523766,17.96338552955717,7.8074798583984375,230337,-4.993463516235352,0.0,0.0005
2701,922019,90.6,23.202331510000004,119,10052,20.670955045236145,21.28789434035413,10.983098983764648,230404,-6.401087760925293,0.0,0.0005
2705,922510,92.27,23.24379421,119,10056,20.34330388633495,14.424841960717776,14.8725004196167,230527,-0.8834114670753479,0.0,0.0005
2707,922971,92.43,23.27070391,119,10060,17.9188620840762,12.178815709822516,17.686012268066406,230642,-6.713250160217285,0.0,0.0005
2712,923479,92.67,22.97013373,119,10064,20.645101037689752,14.006241376216549,6.946848392486572,230769,-5.89487886428833,0.0,0.0005
2714,923732,91.42,20.66420348,119,10068,19.86368980940907,21.56038791584515,13.234033584594727,230832,-5.959142208099365,0.0,0.0005
2718,924073,91.17,20.331041579999997,119,10072,19.950639193190163,23.735187248402646,10.385197639465332,230918,-7.013537406921387,0.0,0.0005
2720,924454,92.16,22.84824477,119,10076,18.7355977723381,19.496136183750338,13.245824813842773,231013,-3.1279330253601074,0.0,0.0005
2724,924881,92.24,22.788511570000004,119,10080,18.265414602250072,13.302257552823262,46.26806640625,231120,-5.8279805183410645,0.0,0.0005
2728,925321,92.06,22.581205040000004,119,10084,17.441876387603283,12.76716861583136,6.400388717651367,231230,-6.806827545166016,0.0,0.0005
2731,925638,91.99,23.028837499999998,119,10088,19.882723264493976,20.68296159621501,9.550610542297363,231309,-4.343814849853516,0.0,0.0005
2734,926037,92.01,23.84121564,119,10092,20.742109132659575,14.829311947079795,23.59974479675293,231409,-4.011008262634277,0.0,0.0005
2737,926394,91.63,24.004717179999997,119,10096,18.277941195891376,20.048811737429904,15.536605834960938,231498,-3.469789981842041,0.0,0.0005
